label,method,url,proto,sample,http_code,http_version,remote_ip,local_ip,time_namelookup,time_connect,time_appconnect,time_pretransfer,time_starttransfer,time_total,exit_code
openai_status,GET,https://status.openai.com/api/v2/summary.json,h2,2,200,2,76.76.21.22,10.2.112.254,0.002900,0.009359,0.023414,0.023480,0.230145,0.230415,0
api_models,GET,https://api.openai.com/v1/models,h3,2,401,3,162.159.140.245,10.2.112.254,0.002362,0.015580,0.016797,0.017062,0.044982,0.045226,0
api_chat_completions,POST,https://api.openai.com/v1/chat/completions,h3,2,401,3,162.159.140.245,10.2.112.254,0.002723,0.014709,0.015787,0.016003,0.088867,0.089148,0
api_responses,POST,https://api.openai.com/v1/responses,h3,2,401,3,162.159.140.245,10.2.112.254,0.002450,0.015730,0.017007,0.017241,0.099183,0.099393,0
api_responses_compact,POST,https://api.openai.com/v1/responses/compact,h3,2,401,3,162.159.140.245,10.2.112.254,0.002526,0.013993,0.015043,0.015252,0.174273,0.175528,0
api_responses_input_tokens,POST,https://api.openai.com/v1/responses/input_tokens,h3,2,401,3,162.159.140.245,10.2.112.254,0.002702,0.016637,0.017881,0.018136,0.096197,0.096466,0
api_realtime_sessions,POST,https://api.openai.com/v1/realtime/sessions,h3,2,401,3,162.159.140.245,10.2.112.254,0.002771,0.015912,0.017176,0.017480,0.087529,0.087752,0
chatgpt_codex_models,GET,https://chatgpt.com/backend-api/codex/models,h3,2,401,3,172.64.155.209,10.2.112.254,0.002240,0.015714,0.016832,0.017048,0.062413,0.062667,0
chatgpt_codex_responses,POST,https://chatgpt.com/backend-api/codex/responses,h3,2,401,3,172.64.155.209,10.2.112.254,0.002276,0.015778,0.016926,0.017157,0.058153,0.058354,0
openai_status,GET,https://status.openai.com/api/v2/summary.json,h3,2,000,0,,,0.002643,0.000000,0.000000,0.000000,0.000000,5.002235,28
openai_status,GET,https://status.openai.com/api/v2/summary.json,h3,2,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,28
api_models,GET,https://api.openai.com/v1/models,h1,3,401,1.1,162.159.140.245,10.2.112.254,0.002315,0.009598,0.022417,0.022442,0.115462,0.115649,0
api_chat_completions,POST,https://api.openai.com/v1/chat/completions,h1,3,401,1.1,162.159.140.245,10.2.112.254,0.002479,0.009122,0.022287,0.022319,0.087926,0.088117,0
api_responses,POST,https://api.openai.com/v1/responses,h1,3,401,1.1,162.159.140.245,10.2.112.254,0.002122,0.083331,0.100450,0.100498,0.194591,0.194810,0
api_responses_compact,POST,https://api.openai.com/v1/responses/compact,h1,3,401,1.1,162.159.140.245,10.2.112.254,0.002418,0.021425,0.036306,0.036343,0.117894,0.118107,0
api_responses_input_tokens,POST,https://api.openai.com/v1/responses/input_tokens,h1,3,401,1.1,162.159.140.245,10.2.112.254,0.002608,0.012835,0.035841,0.035875,0.128440,0.128620,0
api_realtime_sessions,POST,https://api.openai.com/v1/realtime/sessions,h1,3,401,1.1,162.159.140.245,10.2.112.254,0.002228,0.096801,0.115647,0.115684,0.184596,0.184781,0
chatgpt_codex_models,GET,https://chatgpt.com/backend-api/codex/models,h1,3,401,1.1,172.64.155.209,10.2.112.254,0.002359,0.010598,0.022737,0.022762,0.063701,0.063877,0
chatgpt_codex_responses,POST,https://chatgpt.com/backend-api/codex/responses,h1,3,401,1.1,172.64.155.209,10.2.112.254,0.002169,0.009934,0.024556,0.024585,0.072448,0.072614,0
openai_status,GET,https://status.openai.com/api/v2/summary.json,h1,3,200,1.1,76.76.21.22,10.2.112.254,0.002329,0.008984,0.023025,0.023048,0.239700,0.239955,0
api_models,GET,https://api.openai.com/v1/models,h2,3,401,2,162.159.140.245,10.2.112.254,0.002124,0.009905,0.024136,0.024205,0.092533,0.092735,0
api_chat_completions,POST,https://api.openai.com/v1/chat/completions,h2,3,401,2,162.159.140.245,10.2.112.254,0.002139,0.009520,0.021642,0.021700,0.086952,0.087450,0
api_responses,POST,https://api.openai.com/v1/responses,h2,3,401,2,162.159.140.245,10.2.112.254,0.002360,0.008959,0.022464,0.022532,0.092756,0.092996,0
api_responses_compact,POST,https://api.openai.com/v1/responses/compact,h2,3,401,2,162.159.140.245,10.2.112.254,0.002482,0.009371,0.022882,0.022956,0.164735,0.165080,0
api_responses_input_tokens,POST,https://api.openai.com/v1/responses/input_tokens,h2,3,401,2,162.159.140.245,10.2.112.254,0.002230,0.010697,0.026587,0.026678,0.108131,0.108401,0
api_realtime_sessions,POST,https://api.openai.com/v1/realtime/sessions,h2,3,401,2,162.159.140.245,10.2.112.254,0.002736,0.014043,0.028708,0.028786,0.100285,0.100537,0
